kc,kphi,n0,n1,phi
29.7603,2083,0.910326,0.190668,0.456437
29.7603,2083,0.909882,0.191118,0.457212
29.7603,2083,0.909359,0.191464,0.45799
29.7603,2083,0.908529,0.191499,0.458547
29.7603,2083,0.90849,0.192193,0.459266
29.7604,2083,0.907906,0.192139,0.460076
29.7604,2083,0.907787,0.192214,0.461066
29.7604,2083,0.908038,0.192702,0.461902
29.7604,2083,0.907633,0.193102,0.462724
29.7604,2083,0.906934,0.192989,0.463429
29.7604,2083,0.906697,0.19293,0.464399
29.7604,2083,0.90704,0.19302,0.465334
29.7604,2083,0.906497,0.193454,0.466053
29.7604,2083,0.90636,0.193487,0.467043
29.7604,2083,0.905915,0.193142,0.467869
29.7604,2083,0.906422,0.193907,0.468265
29.7604,2083,0.906035,0.194478,0.468989
29.7604,2083,0.906108,0.1943,0.46997
29.7604,2083,0.905259,0.19414,0.470473
29.7604,2083,0.905437,0.194767,0.471231
29.7604,2083,0.905127,0.195065,0.472133
29.7604,2083,0.904612,0.195044,0.47299
29.7604,2083,0.903962,0.194914,0.473739
29.7604,2083,0.903277,0.194969,0.474466
29.7604,2083,0.903006,0.194821,0.475417
29.7604,2083,0.903136,0.195136,0.476357
29.7604,2083,0.902977,0.195607,0.477225
29.7604,2083,0.903529,0.196127,0.477875
29.7604,2083,0.902931,0.196309,0.478656
29.7604,2083,0.902468,0.196522,0.479516
29.7604,2083,0.902801,0.197081,0.480275
29.7604,2083,0.902103,0.196861,0.480956
29.7604,2083,0.901515,0.19686,0.481766
29.7604,2083,0.9011,0.196668,0.482655
29.7604,2083,0.900768,0.196601,0.483596
29.7604,2083,0.901255,0.197132,0.48429
29.7604,2083,0.900782,0.196853,0.485125
29.7604,2083,0.900347,0.197171,0.485968
29.7604,2083,0.900042,0.197429,0.486885
29.7604,2083,0.899918,0.197955,0.487726
29.7604,2083,0.8993,0.198065,0.488505
29.7604,2083,0.900009,0.198293,0.489172
29.7604,2083,0.900203,0.198367,0.490151
29.7604,2083,0.900385,0.198186,0.491117
29.7604,2083,0.899917,0.198034,0.491988
29.7604,2083,0.900643,0.198616,0.492355
29.7604,2083,0.900678,0.198382,0.493327
29.7604,2083,0.900324,0.198683,0.494212
29.7604,2083,0.900831,0.198911,0.495044
29.7604,2083,0.900842,0.198629,0.496003
29.7604,2083,0.900951,0.198552,0.496994
29.7604,2083,0.901035,0.198292,0.497956
29.7604,2083,0.900878,0.19801,0.498903
29.7604,2083,0.900863,0.197974,0.499902
29.7604,2083,0.901162,0.198775,0.500421
29.7604,2083,0.90145,0.198823,0.501377
29.7604,2083,0.900926,0.199028,0.502204
29.7604,2083,0.900845,0.198977,0.503199
29.7604,2083,0.900744,0.199221,0.504164
29.7604,2083,0.900276,0.199084,0.505037
29.7604,2083,0.900879,0.199195,0.505827
29.7604,2083,0.901549,0.19962,0.506436
29.7604,2083,0.900896,0.199695,0.507189
29.7604,2083,0.900574,0.199669,0.508136
29.7604,2083,0.900366,0.199643,0.509113
29.7604,2083,0.900024,0.199582,0.510051
29.7604,2083,0.89935,0.199548,0.510789
29.7604,2083,0.899657,0.199541,0.511741
29.7604,2083,0.900017,0.200125,0.512469
29.7604,2083,0.899272,0.200014,0.513126
29.7604,2083,0.899807,0.200299,0.513922
29.7604,2083,0.900272,0.200338,0.514806
29.7604,2083,0.900407,0.200474,0.515788
29.7604,2083,0.900489,0.200816,0.516724
29.7604,2083,0.900302,0.200918,0.517701
29.7604,2083,0.899694,0.200793,0.518484
29.7604,2083,0.899466,0.200663,0.519449
29.7604,2083,0.899219,0.200781,0.520411
29.7604,2083,0.899356,0.200785,0.521402
29.7604,2083,0.899934,0.201487,0.521819
29.7604,2083,0.899267,0.201457,0.522564
29.7605,2083,0.898875,0.201176,0.52344
29.7605,2083,0.898688,0.20116,0.524422
29.7605,2083,0.898201,0.201292,0.525285
29.7605,2083,0.89877,0.201809,0.525924
29.7605,2083,0.898803,0.201425,0.526847
29.7605,2083,0.898466,0.201323,0.527783
29.7605,2083,0.898163,0.201045,0.528695
29.7605,2083,0.897712,0.201788,0.529189
29.7605,2083,0.898172,0.202585,0.52958
29.7605,2083,0.898415,0.202824,0.53052
29.7605,2083,0.898235,0.203059,0.531476
29.7605,2083,0.897795,0.202991,0.532371
